day,month,year,precip,tmax,tmin,srad
10,8,1981,8.1,34.3,24,24.08797035
11,8,1981,0.7,31.6,22.6,13.20654683
12,8,1981,4.7,29.2,23.5,10.20970627
13,8,1981,17.5,30.8,23.5,13.37998587
14,8,1981,1.2,28.8,20.7,11.32758212
15,8,1981,0,33.8,23.77,24.49590391
16,8,1981,0,32.8,23.5,24.3542793
17,8,1981,9.2,29.3,24.5,10.86542811
18,8,1981,4.6,31.3,23,21.36507513
19,8,1981,0,31.6,23.2,20.74106784
20,8,1981,0,33.1,23.4,23.46072259
21,8,1981,44.6,32,23.6,21.24189915
22,8,1981,0,31.4,20.5,21.41221724
23,8,1981,0,31.8,20.5,12.95951129
24,8,1981,8.1,31.5,21.4,18.87530378
25,8,1981,0.9,32.3,22.4,22.56025737
26,8,1981,1.6,29.9,20,12.96825604
27,8,1981,1.7,32.5,24.3,24.8189084
